faixa_etaria,sexo,cor_raca,situacao_ensino,presenca,quantidade
16,Feminino,Amarela,Concluiu,Eliminado,6
16,Feminino,Amarela,Concluiu,Presente,4
16,Feminino,Amarela,Cursando,Eliminado,1692
16,Feminino,Amarela,Cursando,Presente,3503
16,Feminino,Amarela,Evasão,Eliminado,35
16,Feminino,Amarela,Evasão,Presente,36
16,Feminino,Branca,Concluiu,Eliminado,74
16,Feminino,Branca,Concluiu,Presente,132
16,Feminino,Branca,Cursando,Eliminado,35363
16,Feminino,Branca,Cursando,Presente,71185
16,Feminino,Branca,Evasão,Eliminado,762
16,Feminino,Branca,Evasão,Presente,832
16,Feminino,Indígena,Concluiu,Eliminado,3
16,Feminino,Indígena,Concluiu,Presente,3
16,Feminino,Indígena,Cursando,Eliminado,345
16,Feminino,Indígena,Cursando,Presente,496
16,Feminino,Indígena,Evasão,Eliminado,7
16,Feminino,Indígena,Evasão,Presente,4
16,Feminino,Não declarado,Concluiu,Eliminado,3
16,Feminino,Não declarado,Concluiu,Presente,4
16,Feminino,Não declarado,Cursando,Eliminado,1720
16,Feminino,Não declarado,Cursando,Presente,3107
16,Feminino,Não declarado,Evasão,Eliminado,50
16,Feminino,Não declarado,Evasão,Presente,54
16,Feminino,Parda,Concluiu,Eliminado,128
16,Feminino,Parda,Concluiu,Presente,149
16,Feminino,Parda,Cursando,Eliminado,28501
16,Feminino,Parda,Cursando,Presente,56522
16,Feminino,Parda,Evasão,Eliminado,731
16,Feminino,Parda,Evasão,Presente,698
16,Feminino,Preta,Concluiu,Eliminado,36
16,Feminino,Preta,Concluiu,Presente,37
16,Feminino,Preta,Cursando,Eliminado,5051
16,Feminino,Preta,Cursando,Presente,9188
16,Feminino,Preta,Evasão,Eliminado,113
16,Feminino,Preta,Evasão,Presente,94
16,Masculino,Amarela,Concluiu,Eliminado,6
16,Masculino,Amarela,Cursando,Eliminado,677
16,Masculino,Amarela,Cursando,Presente,1591
16,Masculino,Amarela,Evasão,Eliminado,19
16,Masculino,Amarela,Evasão,Presente,21
16,Masculino,Branca,Concluiu,Eliminado,54
16,Masculino,Branca,Concluiu,Presente,91
16,Masculino,Branca,Cursando,Eliminado,20077
16,Masculino,Branca,Cursando,Presente,37762
16,Masculino,Branca,Evasão,Eliminado,403
16,Masculino,Branca,Evasão,Presente,424
16,Masculino,Indígena,Concluiu,Eliminado,2
16,Masculino,Indígena,Concluiu,Presente,3
16,Masculino,Indígena,Cursando,Eliminado,205
16,Masculino,Indígena,Cursando,Presente,261
16,Masculino,Indígena,Evasão,Eliminado,5
16,Masculino,Indígena,Evasão,Presente,4
16,Masculino,Não declarado,Concluiu,Eliminado,4
16,Masculino,Não declarado,Concluiu,Presente,5
16,Masculino,Não declarado,Cursando,Eliminado,862
16,Masculino,Não declarado,Cursando,Presente,1529
16,Masculino,Não declarado,Evasão,Eliminado,31
16,Masculino,Não declarado,Evasão,Presente,26
16,Masculino,Parda,Concluiu,Eliminado,68
16,Masculino,Parda,Concluiu,Presente,73
16,Masculino,Parda,Cursando,Eliminado,15303
16,Masculino,Parda,Cursando,Presente,28347
16,Masculino,Parda,Evasão,Eliminado,456
16,Masculino,Parda,Evasão,Presente,445
16,Masculino,Preta,Concluiu,Eliminado,14
16,Masculino,Preta,Concluiu,Presente,16
16,Masculino,Preta,Cursando,Eliminado,2738
16,Masculino,Preta,Cursando,Presente,4489
16,Masculino,Preta,Evasão,Eliminado,73
16,Masculino,Preta,Evasão,Presente,53
17,Feminino,Amarela,Concluiu,Eliminado,107
17,Feminino,Amarela,Concluiu,Presente,184
17,Feminino,Amarela,Cursando,Eliminado,3674
17,Feminino,Amarela,Cursando,Presente,7570
17,Feminino,Amarela,Evasão,Eliminado,7
